,date,daily_vaccinations
0,2021-02-22,0.0
1,2021-02-23,1367.0
2,2021-02-24,1367.0
3,2021-02-25,1367.0
4,2021-02-26,1367.0
5,2021-02-27,1367.0
6,2021-02-28,1367.0
7,2021-03-01,1580.0
8,2021-03-02,1794.0
9,2021-03-03,2008.0
10,2021-03-04,2221.0
11,2021-03-05,2435.0
12,2021-03-06,2649.0
13,2021-03-07,2862.0
14,2021-03-08,2862.0
15,2021-03-09,2862.0
16,2021-03-10,2862.0
17,2021-03-11,2862.0
18,2021-03-12,2862.0
19,2021-03-13,2862.0
20,2021-03-14,2862.0
21,2021-03-15,2862.0
22,2021-03-16,2862.0
23,2021-01-10,0.0
24,2021-01-11,64.0
25,2021-01-12,64.0
26,2021-01-13,63.0
27,2021-01-14,66.0
28,2021-01-15,62.0
29,2021-01-16,62.0
30,2021-01-17,58.0
31,2021-01-18,55.0
32,2021-01-19,51.0
33,2021-01-20,47.0
34,2021-01-21,40.0
35,2021-01-22,34.0
36,2021-01-23,26.0
37,2021-01-24,21.0
38,2021-01-25,15.0
39,2021-01-26,9.0
40,2021-01-27,4.0
41,2021-01-28,0.0
42,2021-01-29,0.0
43,2021-01-30,0.0
44,2021-01-31,0.0
45,2021-02-01,0.0
46,2021-02-02,0.0
47,2021-02-03,12.0
48,2021-02-04,24.0
49,2021-02-05,35.0
50,2021-02-06,47.0
51,2021-02-07,59.0
52,2021-02-08,71.0
53,2021-02-09,82.0
54,2021-02-10,81.0
55,2021-02-11,79.0
56,2021-02-12,78.0
57,2021-02-13,76.0
58,2021-02-14,75.0
59,2021-02-15,73.0
60,2021-02-16,72.0
61,2021-02-17,72.0
62,2021-02-18,254.0
63,2021-02-19,405.0
64,2021-02-20,516.0
65,2021-02-21,627.0
66,2021-02-22,739.0
67,2021-02-23,891.0
68,2021-02-24,1043.0
69,2021-02-25,1012.0
70,2021-02-26,1000.0
71,2021-02-27,1027.0
72,2021-02-28,1054.0
73,2021-03-01,1081.0
74,2021-03-02,1026.0
75,2021-03-03,971.0
76,2021-03-04,927.0
77,2021-03-05,897.0
78,2021-03-06,867.0
79,2021-03-07,838.0
80,2021-03-08,808.0
81,2021-03-09,820.0
82,2021-03-10,831.0
83,2021-03-11,857.0
84,2021-03-12,883.0
85,2021-03-13,1042.0
86,2021-03-14,1201.0
87,2021-03-15,1361.0
88,2021-03-16,1520.0
89,2021-03-17,1679.0
90,2021-01-29,0.0
91,2021-01-30,30.0
92,2021-01-31,1889.0
93,2021-02-01,2509.0
94,2021-02-02,2819.0
95,2021-02-03,3005.0
96,2021-02-04,3129.0
97,2021-02-05,3217.0
98,2021-02-06,3748.0
99,2021-02-07,3748.0
100,2021-02-08,3748.0
101,2021-02-09,3748.0
102,2021-02-10,3748.0
103,2021-02-11,3748.0
104,2021-02-12,3748.0
105,2021-02-13,3748.0
106,2021-02-14,3748.0
107,2021-02-15,3748.0
108,2021-02-16,3748.0
109,2021-02-17,3748.0
110,2021-02-18,3748.0
111,2021-02-19,3748.0
112,2021-01-25,0.0
113,2021-01-26,66.0
114,2021-01-27,66.0
115,2021-01-28,66.0
116,2021-01-29,66.0
117,2021-01-30,66.0
118,2021-01-31,66.0
119,2021-02-01,66.0
120,2021-02-02,60.0
121,2021-02-03,55.0
122,2021-02-04,50.0
123,2021-02-05,44.0
124,2021-02-06,39.0
125,2021-02-07,34.0
126,2021-02-08,28.0
127,2021-02-09,28.0
128,2021-02-10,28.0
129,2021-02-11,48.0
130,2021-02-12,68.0
131,2021-02-13,74.0
132,2021-02-14,81.0
133,2021-02-15,87.0
134,2021-02-16,94.0
135,2021-02-17,100.0
136,2021-02-18,87.0
137,2021-02-19,74.0
138,2021-02-20,71.0
139,2021-02-21,67.0
140,2021-02-22,64.0
141,2021-02-23,60.0
142,2021-02-24,57.0
143,2021-02-25,56.0
144,2021-02-26,55.0
145,2021-02-27,63.0
146,2021-02-28,72.0
147,2021-03-01,80.0
148,2021-03-02,89.0
149,2021-03-03,97.0
150,2021-03-04,103.0
151,2021-03-05,108.0
152,2021-03-06,108.0
153,2021-03-07,108.0
154,2021-03-08,108.0
155,2021-03-09,186.0
156,2021-03-10,264.0
157,2021-03-05,0.0
158,2021-03-06,2056.0
159,2021-03-07,2056.0
160,2021-03-08,2056.0
161,2021-03-09,2613.0
162,2021-03-10,2947.0
163,2021-03-11,3170.0
164,2021-03-12,3329.0
165,2021-03-13,3647.0
166,2021-03-14,3965.0
167,2021-03-15,4283.0
168,2021-03-16,4283.0
169,2021-03-17,4283.0
170,2021-03-18,4283.0
171,2021-02-04,0.0
172,2021-02-05,149.0
173,2021-02-06,149.0
174,2021-02-07,149.0
175,2021-02-08,149.0
176,2021-02-09,149.0
177,2021-02-10,149.0
178,2021-02-11,149.0
179,2021-02-12,149.0
180,2021-02-13,149.0
181,2021-02-14,331.0
182,2021-02-15,323.0
183,2021-02-16,316.0
184,2021-02-17,309.0
185,2021-02-18,301.0
186,2021-02-19,294.0
187,2021-02-20,286.0
188,2021-02-21,97.0
189,2021-02-22,97.0
190,2021-02-23,97.0
191,2021-02-24,97.0
192,2021-02-25,97.0
193,2021-02-26,97.0
194,2021-02-27,94.0
195,2021-02-28,90.0
196,2021-03-01,86.0
197,2021-03-02,82.0
198,2021-03-03,79.0
199,2021-03-04,75.0
200,2021-03-05,71.0
201,2021-03-06,71.0
202,2021-03-07,71.0
203,2021-03-08,71.0
204,2021-03-09,71.0
205,2021-03-10,71.0
206,2021-03-11,71.0
207,2021-03-12,71.0
208,2021-03-13,71.0
209,2021-03-14,69.0
210,2021-03-15,68.0
211,2021-03-16,66.0
212,2021-03-17,64.0
213,2021-03-18,62.0
214,2021-03-19,60.0
215,2021-02-16,0.0
216,2021-02-17,895.0
217,2021-02-18,895.0
218,2021-02-19,895.0
219,2021-02-20,895.0
220,2021-02-21,895.0
221,2021-02-22,895.0
222,2021-02-23,895.0
223,2021-02-24,895.0
224,2021-02-25,895.0
225,2021-02-26,895.0
226,2021-02-27,895.0
227,2021-02-28,895.0
228,2021-03-01,895.0
229,2021-03-02,895.0
230,2021-03-03,895.0
231,2021-03-04,895.0
232,2021-03-05,895.0
233,2021-03-06,895.0
234,2021-03-07,895.0
235,2021-03-08,895.0
236,2021-03-09,895.0
237,2021-03-10,895.0
238,2021-03-11,895.0
239,2021-03-12,895.0
240,2021-03-13,895.0
241,2021-03-14,895.0
242,2021-03-15,895.0
243,2021-03-16,821.0
244,2021-03-17,747.0
245,2021-03-18,674.0
246,2021-03-19,600.0
247,2020-12-29,0.0
248,2020-12-30,15656.0
249,2020-12-31,15656.0
250,2021-01-01,11070.0
251,2021-01-02,8776.0
252,2021-01-03,7400.0
253,2021-01-04,6483.0
254,2021-01-05,7984.0
255,2021-01-06,8173.0
256,2021-01-07,8363.0
257,2021-01-08,10519.0
258,2021-01-09,11942.0
259,2021-01-10,13365.0
260,2021-01-11,14788.0
261,2021-01-12,14056.0
262,2021-01-13,13323.0
263,2021-01-14,13320.0
264,2021-01-15,13317.0
265,2021-01-16,12971.0
266,2021-01-17,12624.0
267,2021-01-18,12278.0
268,2021-01-19,11932.0
269,2021-01-20,11586.0
270,2021-01-21,11704.0
271,2021-01-22,11263.0
272,2021-01-23,11124.0
273,2021-01-24,10342.0
274,2021-01-25,9046.0
275,2021-01-26,9626.0
276,2021-01-27,10014.0
277,2021-01-28,8896.0
278,2021-01-29,9205.0
279,2021-01-30,11189.0
280,2021-01-31,11299.0
281,2021-02-01,11924.0
282,2021-02-02,11475.0
283,2021-02-03,11218.0
284,2021-02-04,16574.0
285,2021-02-05,16238.0
286,2021-02-06,15000.0
287,2021-02-07,18576.0
288,2021-02-08,19390.0
289,2021-02-09,18139.0
290,2021-02-10,19820.0
291,2021-02-11,18416.0
292,2021-02-12,19133.0
293,2021-02-13,19266.0
294,2021-02-14,15493.0
295,2021-02-15,14030.0
296,2021-02-16,13999.0
297,2021-02-17,11003.0
298,2021-02-18,8951.0
299,2021-02-19,11003.0
300,2021-02-20,14415.0
301,2021-02-21,15809.0
302,2021-02-22,16063.0
303,2021-02-23,19349.0
304,2021-02-24,24019.0
305,2021-02-25,27750.0
306,2021-02-26,33609.0
307,2021-02-27,39678.0
308,2021-02-28,43534.0
309,2021-03-01,46705.0
310,2021-03-02,54213.0
311,2021-03-03,57262.0
312,2021-03-04,60376.0
313,2021-03-05,64812.0
314,2021-03-06,65277.0
315,2021-03-07,71582.0
316,2021-03-08,71076.0
317,2021-03-09,74693.0
318,2021-03-10,84735.0
319,2021-03-11,95230.0
320,2021-03-12,105801.0
321,2021-03-13,121843.0
322,2021-03-14,122193.0
323,2021-03-15,122499.0
324,2021-03-16,127486.0
325,2021-03-17,127666.0
326,2021-03-18,126583.0
327,2021-03-19,120166.0
328,2021-03-20,109875.0
329,2021-02-15,0.0
330,2021-02-16,0.0
331,2021-02-17,0.0
332,2021-02-18,0.0
333,2021-02-19,0.0
334,2021-02-20,0.0
335,2021-02-21,0.0
336,2021-02-22,3.0
337,2021-02-23,411.0
338,2021-02-24,987.0
339,2021-02-25,2500.0
340,2021-02-26,3571.0
341,2021-02-27,4286.0
342,2021-02-28,4556.0
343,2021-03-01,4812.0
344,2021-03-02,5575.0
345,2021-03-03,6276.0
346,2021-03-04,6215.0
347,2021-03-05,6695.0
348,2021-03-06,6706.0
349,2021-03-07,7064.0
350,2021-03-08,7524.0
351,2021-03-09,7572.0
352,2021-03-10,7909.0
353,2021-03-11,9142.0
354,2021-03-12,9034.0
355,2021-03-13,11765.0
356,2021-03-14,11601.0
357,2021-03-15,11202.0
358,2021-03-16,12504.0
359,2021-03-17,13908.0
360,2021-03-18,14437.0
361,2021-03-19,15093.0
362,2021-03-20,13505.0
363,2020-12-27,0.0
364,2020-12-28,1290.0
365,2020-12-29,1452.0
366,2020-12-30,1414.0
367,2020-12-31,1063.0
368,2021-01-01,850.0
369,2021-01-02,709.0
370,2021-01-03,608.0
371,2021-01-04,440.0
372,2021-01-05,432.0
373,2021-01-06,359.0
374,2021-01-07,807.0
375,2021-01-08,2648.0
376,2021-01-09,3272.0
377,2021-01-10,3585.0
378,2021-01-11,4362.0
379,2021-01-12,6173.0
380,2021-01-13,8181.0
381,2021-01-14,10049.0
382,2021-01-15,10722.0
383,2021-01-16,11042.0
384,2021-01-17,11530.0
385,2021-01-18,12337.0
386,2021-01-19,13932.0
387,2021-01-20,15122.0
388,2021-01-21,15563.0
389,2021-01-22,14700.0
390,2021-01-23,14193.0
391,2021-01-24,13567.0
392,2021-01-25,12175.0
393,2021-01-26,9749.0
394,2021-01-27,7557.0
395,2021-01-28,6162.0
396,2021-01-29,6630.0
397,2021-01-30,6711.0
398,2021-01-31,6728.0
399,2021-02-01,7149.0
400,2021-02-02,8346.0
401,2021-02-03,9706.0
402,2021-02-04,11156.0
403,2021-02-05,11950.0
404,2021-02-06,12688.0
405,2021-02-07,13186.0
406,2021-02-08,13910.0
407,2021-02-09,14187.0
408,2021-02-10,14740.0
409,2021-02-11,15310.0
410,2021-02-12,16126.0
411,2021-02-13,16316.0
412,2021-02-14,15896.0
413,2021-02-15,15541.0
414,2021-02-16,14900.0
415,2021-02-17,14579.0
416,2021-02-18,13956.0
417,2021-02-19,13226.0
418,2021-02-20,13629.0
419,2021-02-21,14206.0
420,2021-02-22,14166.0
421,2021-02-23,14187.0
422,2021-02-24,14224.0
423,2021-02-25,14238.0
424,2021-02-26,15220.0
425,2021-02-27,16830.0
426,2021-02-28,17420.0
427,2021-03-01,17662.0
428,2021-03-02,19100.0
429,2021-03-03,20195.0
430,2021-03-04,21186.0
431,2021-03-05,22207.0
432,2021-03-06,22640.0
433,2021-03-07,22879.0
434,2021-03-08,23284.0
435,2021-03-09,23727.0
436,2021-03-10,23824.0
437,2021-03-11,26252.0
438,2021-03-12,29237.0
439,2021-03-13,32474.0
440,2021-03-14,34958.0
441,2021-03-15,36175.0
442,2021-03-16,36000.0
443,2021-03-17,36548.0
444,2021-03-18,35009.0
445,2021-03-19,33653.0
446,2021-01-17,0.0
447,2021-01-18,3250.0
448,2021-01-19,3250.0
449,2021-01-20,3250.0
450,2021-01-21,3250.0
451,2021-01-22,3250.0
452,2021-01-23,3250.0
453,2021-01-24,3250.0
454,2021-01-25,3250.0
455,2021-01-26,3250.0
456,2021-01-27,3250.0
457,2021-01-28,3250.0
458,2021-01-29,3250.0
459,2021-01-30,3250.0
460,2021-01-31,3250.0
461,2021-02-01,3250.0
462,2021-02-02,3250.0
463,2021-02-03,3250.0
464,2021-02-04,3250.0
465,2021-02-05,3250.0
